Z,dT,Fitness,Fitness_cmp,Precision,Precision_cmp,Generality,Generality_cmp,Simplicity,RISK_AT_1,RISK_AT_5,RISK_AT_0.9,RISK_A_1,RISK_A_5,RISK_A_0.9
0,base,0.9998661701396945,0.9998661701396945,0.44684304496023375,0.44684304496023375,0.8425936571217436,0.8425936571217436,0.6571428571428571,0.014907989750757047,0.24737945492662475,0.24761239226648032,0.0,0.0,0.00023293733985557886
1,259200,0.9998177915293953,0.9998177915293953,0.40729078357757054,0.3324477720082115,0.8221403950993755,0.8221403950993755,0.65,0.01840204984859073,0.25250407640344746,0.25250407640344746,0.0,0.0,0.0004658746797111577
2,259200,0.9997653734075553,0.9997662396457561,0.4577222731439047,0.3162550258472142,0.8092724730799172,0.7956515724368134,0.6385542168674699,0.014442115071045888,0.24248777078965758,0.24248777078965758,0.00023293733985557886,0.0004658746797111577,0.0004658746797111577
3,259200,0.9997627076707811,0.9957675178289762,0.47678265830005706,0.315765247410817,0.8581832930133335,0.8269011649019213,0.631578947368421,0.012823501981813942,0.23525297272091397,0.23525297272091397,0.0,0.00023315458148752622,0.00023315458148752622
4,259200,0.9997572423369364,0.9957643183716042,0.45694127412326213,0.2877215057145853,0.8575322865805954,0.8276670909963965,0.631578947368421,0.013311536665109761,0.23003269500233536,0.23003269500233536,0.0,0.0,0.0
5,259200,0.999794036167249,0.9951348251336574,0.5179248745870549,0.3401537698412699,0.8429285053097417,0.8166134246729884,0.6363636363636362,0.009813084112149532,0.22289719626168225,0.22289719626168225,0.0,0.0,0.0
6,259200,0.9997647540820233,0.9951061483319548,0.5721800831906043,0.3401537698412699,0.7995199543360385,0.7913619008780314,0.6338028169014084,0.011238585811285413,0.2221962069772887,0.2221962069772887,0.0,0.00023413720440177945,0.00023413720440177945
7,259200,0.9997516222049748,0.9950944159935238,0.5454639281659615,0.2879790026246719,0.8008645854033158,0.7961011165088325,0.6216216216216216,0.011238585811285413,0.21657691407164598,0.21657691407164598,0.0,0.00023413720440177945,0.00023413720440177945
8,259200,0.9997518221870965,0.99509434933251,0.5452199050175511,0.2879790026246719,0.8305173930943791,0.8256228946224912,0.6338028169014084,0.013579957855303207,0.21306485600561928,0.21306485600561928,0.0,0.00023413720440177945,0.00023413720440177945
9,259200,0.9997572885107007,0.9951006821288222,0.5677651905252317,0.28838043019822857,0.7965678935578178,0.7637171666339123,0.6216216216216216,0.013130128956623681,0.2114888628370457,0.2114888628370457,0.0,0.00023446658851113716,0.0004689331770222743
10,259200,0.9997753540906154,0.9951271465513057,0.9030829500936808,0.4787327148608437,0.8349712063145489,0.7875482840064485,0.6507936507936508,0.015518457559369857,0.21020456148600988,0.21020456148600988,0.0,0.00023512814483893723,0.00047025628967787447
11,259200,0.9998014852079482,0.9871544892993074,0.9043000914913083,0.43937666286583044,0.8521048260849753,0.7776810984781196,0.6603773584905661,0.013647058823529411,0.20047058823529412,0.20047058823529412,0.0,0.00023529411764705883,0.00023529411764705883
12,259200,0.999800018798233,0.9871544892993074,0.902701715954728,0.43937666286583044,0.8474875404619282,0.7776810984781196,0.6603773584905661,0.013430725730442978,0.1950989632422243,0.1950989632422243,0.0,0.000235626767200754,0.000235626767200754
13,259200,0.9997528899938513,0.9871068933354451,0.6191741125332045,0.2892892892892893,0.8419867858566132,0.7944104230631694,0.6231884057971013,0.013924946896388955,0.18928487137125324,0.18928487137125324,0.0,0.0,0.0002360160490913382
14,259200,0.9997925533726776,0.9871544892993074,0.9058312205722564,0.43937666286583044,0.8514552036892047,0.7776810984781196,0.6603773584905661,0.013468809073724008,0.17698487712665406,0.17698487712665406,0.0,0.0,0.00023629489603024575
15,259200,0.9997884207770797,0.9871544892993074,0.8726847689264521,0.43937666286583044,0.832877178945485,0.7776810984781196,0.6603773584905661,0.013036264517658214,0.17326380658923915,0.17326380658923915,0.0,0.00023702299123014932,0.00023702299123014932
16,259200,0.9997832216778322,0.9871544892993074,0.8702085933321447,0.43937666286583044,0.8334940312389882,0.7776810984781196,0.6603773584905661,0.010931558935361217,0.1651615969581749,0.1651615969581749,0.0,0.0002376425855513308,0.0002376425855513308
17,259200,0.999778089168425,0.9871544892993074,0.8109691160809371,0.43937666286583044,0.8085227404925298,0.7776810984781196,0.6603773584905661,0.010272336359292882,0.15838509316770186,0.15838509316770186,0.0,0.0,0.00023889154323936931
18,259200,0.9997238284456701,0.9871068933354451,0.568077331132854,0.2892892892892893,0.8226016004284071,0.7944104230631694,0.6231884057971013,0.007686764352630314,0.15469613259668508,0.15469613259668508,0.0,0.0,0.00024021138601969732
