Z,dT,Fitness,Fitness_cmp,Precision,Precision_cmp,Generality,Generality_cmp,Simplicity,RISK_AT_0.3,RISK_AT_0.6,RISK_AT_0.9,RISK_A_0.3,RISK_A_0.6,RISK_A_0.9
0,base,1.0,1.0,0.06910480752274994,0.06910480752274994,0.7951064892292475,0.7951064892292475,0.5909090909090908,0.9377593360995851,1.0,1.0,0.0,0.0,0.004149377593360996
2,3600,0.9999278445134989,0.9964859377998798,0.08668815269505403,0.07576600304274572,0.7837119132797904,0.862353707883407,0.6363636363636362,0.9045643153526971,1.0,1.0,0.004149377593360996,0.004149377593360996,0.004149377593360996
2,86400,0.9997138409359488,0.9962135945516885,0.08215717583781135,0.07099511756121968,0.8011694651106852,0.873587869393148,0.6317689530685922,0.9004149377593361,1.0,1.0,0.0,0.0,0.008298755186721992
2,259200,0.9992515300694451,0.9973838816016339,0.08113515185022069,0.06801371165975989,0.7930266766958501,0.8584363611916016,0.6223776223776223,0.9128630705394191,1.0,1.0,0.0,0.0,0.0
2,0,0.9623368165623116,0.9650508738563789,0.09417478892981712,0.06556485071073925,0.8628726496462624,0.8937084374931898,0.5964125560538116,0.8921161825726142,1.0,1.0,0.0,0.0,0.0
3,3600,1.0,0.9987199505645938,0.09716226881240775,0.08530549667647602,0.8535339506323334,0.879759895177174,0.6431535269709544,0.8713692946058091,1.0,1.0,0.0,0.004149377593360996,0.0
3,86400,1.0,0.9982837957317237,0.09277757773570439,0.07794779559709863,0.8106020998019112,0.8844184680881158,0.6329588014981274,0.8962655601659751,1.0,1.0,0.0,0.0,0.0
3,259200,0.9955075660981891,0.9783400520384484,0.09680159951963307,0.09557109557109555,0.8592359709891719,0.8944039549626732,0.6263736263736264,0.8879668049792531,1.0,1.0,0.0,0.0,0.0
3,0,1.0,0.9933800773904742,0.08051157494598937,0.07173011106806149,0.8940935962323835,0.9029606831651188,0.5789473684210527,0.8796680497925311,1.0,1.0,0.0,0.0,0.004149377593360996
4,3600,1.0,0.9989442562528159,0.09100721353677832,0.08324747677103006,0.8349517508331827,0.8854841239460471,0.6444444444444444,0.9004149377593361,1.0,1.0,0.0,0.0,0.0
4,86400,1.0,0.997976233736737,0.13081003967723237,0.08385641045634418,0.8150175944592545,0.8951576262639711,0.631578947368421,0.9128630705394191,1.0,1.0,0.0,0.0,0.004149377593360996
4,259200,0.9855398359325109,0.9852468445277939,0.11973293962397269,0.0976926553396279,0.8211278341276624,0.8886284266956289,0.6240601503759399,0.8879668049792531,1.0,1.0,0.0,0.004149377593360996,0.0
4,0,1.0,0.9934418057291678,0.08126517877718886,0.07025928693129035,0.8604610426202433,0.8739494488661081,0.5802469135802469,0.91701244813278,1.0,1.0,0.0,0.0,0.0
5,3600,1.0,0.987627561191171,0.09987857396052524,0.09249941789246707,0.8402753105233565,0.872039026734799,0.6231884057971013,0.8921161825726142,1.0,1.0,0.0,0.0,0.008298755186721992
5,86400,0.9998762201159994,0.9889111738141427,0.1097458227395075,0.09576147932682322,0.8136959761491137,0.8631253834852068,0.640625,0.8838174273858921,1.0,1.0,0.0,0.0,0.004149377593360996
5,259200,1.0,0.9909642313009082,0.10836441497444393,0.0972764215345212,0.8302109640404907,0.8773945850354108,0.6371308016877638,0.9004149377593361,1.0,1.0,0.0,0.0,0.004149377593360996
5,0,0.999828371193717,0.999791506192304,0.11440306361085129,0.09271671259831515,0.8594396660205654,0.8880869507724195,0.6326530612244898,0.921161825726141,1.0,1.0,0.0,0.0,0.0
15,3600,0.9998267618321669,0.9936043873014915,0.17495842707620068,0.08484383826971187,0.8007467255369134,0.8799340167940664,0.6396396396396395,0.9253112033195021,1.0,1.0,0.0,0.004149377593360996,0.008298755186721992
15,86400,1.0,0.9943206178138179,0.14640180543319536,0.09099704074664239,0.8715737260131061,0.8623781768884469,0.6382978723404255,0.9128630705394191,1.0,1.0,0.0,0.0,0.0
15,259200,1.0,0.9775319225781615,0.12325623914434591,0.09776210228260596,0.8502974429748722,0.8690100275525381,0.64,0.91701244813278,1.0,1.0,0.0,0.0,0.0
15,0,0.9999768470283161,0.9949539324447745,0.11891699985629878,0.10595553089791743,0.8584745635396938,0.8760772691533171,0.6347826086956522,0.8713692946058091,1.0,1.0,0.0,0.0,0.0
30,3600,1.0,0.9802227165301419,0.3124849535365207,0.11466919541906773,0.8584916615133067,0.7915300451418705,0.6551724137931035,0.921161825726141,1.0,1.0,0.0,0.0,0.004149377593360996
30,86400,1.0,0.9970206078918435,0.18046594357060652,0.11046347122403943,0.8869994280355642,0.9023713447124283,0.6521739130434783,0.950207468879668,1.0,1.0,0.0,0.0,0.0
30,259200,1.0,0.9972524753825209,0.17574371411905565,0.11023810579523785,0.886480527773173,0.8621897634274398,0.6533333333333333,0.946058091286307,1.0,1.0,0.0,0.0,0.0
