Z,dT,Fitness,Fitness_cmp,Precision,Precision_cmp,Generality,Generality_cmp,Simplicity,RISK_AT_0.3,RISK_AT_0.6,RISK_AT_0.9,RISK_A_0.3,RISK_A_0.6,RISK_A_0.9
15,0,1.0,0.9817485979627687,0.12064944933055011,0.09413816627836635,0.824612434642202,0.8807282560173033,0.6363636363636362,0.9087136929460581,1.0,1.0,0.0,0.0,0.0
30,3600,1.0,0.9672810942084556,0.49379142225946526,0.2735091023226617,0.855645858681661,0.8028337101318741,0.6541353383458647,0.8381742738589212,1.0,1.0,0.0,0.0,0.0
30,86400,1.0,0.9915280667919567,0.19586615708603072,0.1313225841093537,0.8926448352775057,0.8819472886396819,0.6642335766423357,0.9336099585062241,1.0,1.0,0.0,0.0,0.0
30,259200,1.0,0.9897841822192082,0.2670544925691951,0.18950587027052257,0.9135025305570105,0.8725669536886193,0.6639999999999999,0.8838174273858921,1.0,1.0,0.0,0.0,0.0
30,0,1.0,0.9945568571636949,0.19674732249107496,0.14549137501406684,0.8905779841092221,0.8996246140977272,0.6690647482014388,0.9004149377593361,1.0,1.0,0.0,0.0,0.0
45,3600,1.0,0.964581163669435,0.5236726411903957,0.25587512150494596,0.879718048109647,0.8439011326929293,0.6576576576576577,0.9087136929460581,1.0,1.0,0.0,0.0,0.0
45,86400,1.0,0.9925638774593702,0.19288258491286092,0.1313225841093537,0.8999945742329805,0.8860375141509367,0.6666666666666666,0.9045643153526971,1.0,1.0,0.0,0.0,0.0
45,259200,1.0,0.9897841822192082,0.2670790057182868,0.18950587027052257,0.9097250160158185,0.8725669536886193,0.6639999999999999,0.921161825726141,1.0,1.0,0.0,0.0,0.0
45,0,1.0,0.9952058693844652,0.1985459935973254,0.14954991183840138,0.905162527416,0.9143267033634942,0.6666666666666666,0.8962655601659751,1.0,1.0,0.0,0.0,0.0
60,3600,1.0,0.9440524019803991,0.41729611384783794,0.2582552149311713,0.9123171445030189,0.8731008126477519,0.6901408450704225,0.95,1.0,1.0,0.0,0.0,0.0
60,86400,1.0,0.9921718200024859,0.24019564052170805,0.150548263679133,0.9276635763970008,0.916261578592062,0.6880733944954129,0.9626556016597511,1.0,1.0,0.0,0.0,0.0
60,259200,1.0,0.9863619771442791,0.25042666160993643,0.17303199351547227,0.9045747653049769,0.854183033867308,0.65625,0.9336099585062241,1.0,1.0,0.0,0.0,0.0
60,0,1.0,0.9952058693844652,0.20114410153901163,0.14954991183840138,0.904270844210249,0.9143267033634942,0.6666666666666666,0.8630705394190872,1.0,1.0,0.0,0.0,0.0
