Z,dT,Fitness,Fitness_cmp,Precision,Precision_cmp,Generality,Generality_cmp,Simplicity,RISK_AT_0.3,RISK_AT_0.6,RISK_AT_0.9,RISK_A_0.3,RISK_A_0.6,RISK_A_0.9
5,86400,1.0,0.999990287332319,0.17372639790885602,0.10982177471239973,0.9536850401102889,0.9249053015609581,0.6202531645569621,1.0,1.0,1.0,0.01176830200213969,0.024071526822558458,0.024682867186305975
5,259200,1.0,1.0,0.16878672671468453,0.11584875522299043,0.9618563916734277,0.9495771019430702,0.6000000000000001,1.0,1.0,1.0,0.01184471954760813,0.02521779000458505,0.025905547913801008
5,0,0.9774372323971656,0.9776246804773878,0.18674324874075754,0.1306009111192371,0.9705706594248492,0.9560884201902099,0.616580310880829,1.0,1.0,1.0,0.009170105456212746,0.021473330276631515,0.02193183554944215
15,86400,1.0,0.9888658809899418,0.26187065777108876,0.13727417527340147,0.9278304523903965,0.8991710609184895,0.6387665198237886,1.0,1.0,1.0,0.003977055449330784,0.011931166347992352,0.012848948374760994
15,259200,1.0,0.9999677331791372,0.21971589430852,0.11712386684628373,0.9589578607280127,0.937925001633202,0.6144578313253012,1.0,1.0,1.0,0.008716262711216454,0.02133190610902974,0.0219435736677116
15,0,1.0,0.9999840459069446,0.15771763193460775,0.11308659826044232,0.9733029613318878,0.9579210475425892,0.6198347107438017,1.0,1.0,1.0,0.009250764525993884,0.02125382262996942,0.021559633027522937
30,86400,1.0,0.9829087236218343,0.6088633384739189,0.19540749179909245,0.9652321425105448,0.8163672185905192,0.6347826086956522,1.0,1.0,1.0,0.0018443095366172289,0.004457081380158303,0.005148697456389764
30,259200,1.0,0.9853884569477419,0.2694860171481058,0.13873762058233396,0.9132792756212088,0.8680262969774772,0.6396396396396395,1.0,1.0,1.0,0.005432703343790649,0.01423215242176142,0.014385186318769607
30,0,1.0,0.9999831791421351,0.16456034341564085,0.11292364061287141,0.9749397842357642,0.959001300449038,0.6234309623430964,1.0,1.0,1.0,0.008416220351951033,0.020964039785768936,0.02142310635042081
45,86400,1.0,0.9769478322419839,0.570937380781062,0.2066747834199505,0.9142911433398153,0.8885282879582632,0.6448598130841122,1.0,1.0,1.0,0.0008630158481092108,0.0018829436686019143,0.0019613996547936607
45,259200,1.0,0.9785482753714692,0.4045810164231217,0.20365950548395617,0.8633885203554444,0.8989712034790154,0.6455696202531647,1.0,1.0,1.0,0.0013020833333333333,0.005208333333333333,0.005821078431372549
45,0,1.0,1.0,0.16191900125604552,0.11356973754125,0.9539362789598005,0.9337094601263002,0.603960396039604,1.0,1.0,1.0,0.009571942721494755,0.02297266253158741,0.023585266865763076
60,86400,1.0,0.8961560835906386,0.49072918451084513,0.23731224184283817,0.9233105845061773,0.8538390828215705,0.6296296296296295,1.0,1.0,1.0,0.00042859591976684384,0.0009429110234870564,0.001028630207440425
60,259200,1.0,0.9791959054539576,0.5272774922469898,0.21417757492945677,0.944677479770567,0.8946122203223917,0.641025641025641,1.0,1.0,1.0,0.0011502185415228894,0.002300437083045779,0.0031439306801625644
